subject_id,itd_us,track,trial_no,level_db,response,is_reversal
P01,600,B,1,-63.3333,pulsating,0
P01,600,A,2,-31.3333,pulsating,0
P01,600,A,3,-33.3333,pulsating,0
P01,600,A,4,-33.3333,pulsating,0
P01,600,B,5,-63.3333,continuous,0
P01,600,A,6,-35.3333,pulsating,0
P01,600,B,7,-61.3333,continuous,1
P01,600,B,8,-62.3333,pulsating,1
P01,600,B,9,-62.3333,continuous,0
P01,600,B,10,-61.3333,continuous,1
P01,600,B,11,-62.3333,pulsating,1
P01,600,B,12,-63.3333,pulsating,0
P01,600,B,13,-64.3333,pulsating,0
P01,600,B,14,-65.3333,pulsating,0
P01,600,A,15,-35.3333,pulsating,0
P01,600,B,16,-66.3333,pulsating,0
P01,600,B,17,-67.3333,pulsating,0
P01,600,B,18,-68.3333,pulsating,0
P01,600,B,19,-69.3333,pulsating,0
P01,600,A,20,-37.3333,pulsating,0
P01,600,A,21,-37.3333,pulsating,0
P01,600,A,22,-39.3333,pulsating,0
P01,600,A,23,-39.3333,pulsating,0
P01,600,B,24,-69.3333,continuous,0
P01,600,B,25,-68.3333,continuous,1
P01,600,B,26,-68.3333,continuous,0
P01,600,A,27,-41.3333,pulsating,0
P01,600,B,28,-67.3333,continuous,0
P01,600,A,29,-41.3333,pulsating,0
P01,600,B,30,-67.3333,continuous,0
P01,600,B,31,-66.3333,continuous,0
P01,600,A,32,-43.3333,pulsating,0
P01,600,B,33,-66.3333,continuous,0
P01,600,B,34,-65.3333,continuous,0
P01,600,A,35,-43.3333,pulsating,0
P01,600,A,36,-45.3333,pulsating,0
P01,600,A,37,-45.3333,pulsating,0
P01,600,B,38,-65.3333,continuous,0
P01,600,A,39,-47.3333,pulsating,0
P01,600,A,40,-47.3333,pulsating,0
P01,600,B,41,-64.3333,continuous,0
P01,600,B,42,-65.3333,pulsating,1
P01,600,B,43,-65.3333,continuous,0
P01,600,A,44,-49.3333,pulsating,0
P01,600,A,45,-49.3333,pulsating,0
P01,600,A,46,-51.3333,pulsating,0
P01,600,A,47,-51.3333,pulsating,0
P01,600,B,48,-64.3333,continuous,1
P01,600,B,49,-65.3333,pulsating,1
P01,600,A,50,-53.3333,pulsating,0
P01,600,A,51,-53.3333,pulsating,0
P01,600,A,52,-55.3333,pulsating,0
P01,600,A,53,-55.3333,pulsating,0
P01,600,A,54,-57.3333,pulsating,0
P01,600,A,55,-57.3333,pulsating,0
P01,600,A,56,-59.3333,pulsating,0
P01,600,A,57,-59.3333,pulsating,0
P01,600,A,58,-61.3333,pulsating,0
P01,600,A,59,-61.3333,pulsating,0
P01,600,A,60,-63.3333,pulsating,0
P01,600,A,61,-63.3333,pulsating,0
P01,600,A,62,-65.3333,pulsating,0
P01,600,A,63,-65.3333,pulsating,0
P01,600,A,64,-67.3333,pulsating,0
P01,600,A,65,-67.3333,pulsating,0
P01,600,A,66,-69.3333,pulsating,0
P01,600,A,67,-69.3333,pulsating,0
P01,600,A,68,-67.3333,continuous,1
P01,600,A,69,-67.3333,pulsating,0
P01,600,A,70,-68.3333,pulsating,1
P01,600,A,71,-68.3333,pulsating,0
P01,600,A,72,-69.3333,pulsating,0
P01,600,A,73,-69.3333,pulsating,0
P01,600,A,74,-70.3333,pulsating,0
P01,600,A,75,-70.3333,pulsating,0
P01,600,A,76,-71.3333,pulsating,0
P01,600,A,77,-71.3333,pulsating,0
P01,600,A,78,-70.3333,continuous,1
P01,600,A,79,-69.3333,continuous,0
P01,600,A,80,-69.3333,pulsating,0
P01,600,A,81,-70.3333,pulsating,1
P01,600,A,82,-70.3333,pulsating,0
P01,600,A,83,-71.3333,pulsating,0
P01,600,A,84,-71.3333,pulsating,0
P01,600,A,85,-72.3333,pulsating,0
P01,600,A,86,-72.3333,pulsating,0
P01,600,A,87,-73.3333,pulsating,0
P01,600,A,88,-72.3333,continuous,1
P01,600,A,89,-72.3333,pulsating,0
P01,600,A,90,-73.3333,pulsating,1
P01,600,A,91,-73.3333,pulsating,0
P01,600,A,92,-74.3333,pulsating,0
P01,600,A,93,-74.3333,pulsating,0
P01,600,A,94,-73.3333,continuous,1
P01,600,A,95,-73.3333,pulsating,0
P01,600,A,96,-74.3333,pulsating,1
P01,0,B,1,-61.3333,continuous,0
P01,0,B,2,-63.3333,pulsating,0
P01,0,B,3,-63.3333,continuous,0
P01,0,A,4,-31.3333,pulsating,0
P01,0,A,5,-33.3333,pulsating,0
P01,0,B,6,-61.3333,continuous,1
P01,0,A,7,-33.3333,pulsating,0
P01,0,B,8,-61.3333,continuous,0
P01,0,A,9,-35.3333,pulsating,0
P01,0,A,10,-35.3333,pulsating,0
P01,0,B,11,-62.3333,pulsating,1
P01,0,A,12,-37.3333,pulsating,0
P01,0,B,13,-62.3333,continuous,0
P01,0,A,14,-37.3333,pulsating,0
P01,0,B,15,-61.3333,continuous,1
P01,0,B,16,-61.3333,continuous,0
P01,0,A,17,-39.3333,pulsating,0
P01,0,A,18,-37.3333,continuous,1
P01,0,B,19,-60.3333,continuous,0
P01,0,A,20,-37.3333,pulsating,0
P01,0,B,21,-60.3333,continuous,0
P01,0,A,22,-38.3333,pulsating,1
P01,0,A,23,-38.3333,pulsating,0
P01,0,A,24,-39.3333,pulsating,0
P01,0,A,25,-39.3333,pulsating,0
P01,0,A,26,-40.3333,pulsating,0
P01,0,B,27,-59.3333,continuous,0
P01,0,A,28,-40.3333,pulsating,0
P01,0,A,29,-41.3333,pulsating,0
P01,0,B,30,-59.3333,continuous,0
P01,0,B,31,-58.3333,continuous,0
P01,0,A,32,-41.3333,pulsating,0
P01,0,A,33,-42.3333,pulsating,0
P01,0,A,34,-42.3333,pulsating,0
P01,0,B,35,-58.3333,continuous,0
P01,0,B,36,-57.3333,continuous,0
P01,0,A,37,-43.3333,pulsating,0
P01,0,A,38,-42.3333,continuous,1
P01,0,B,39,-57.3333,continuous,0
P01,0,A,40,-42.3333,pulsating,0
P01,0,A,41,-43.3333,pulsating,1
P01,0,B,42,-56.3333,continuous,0
P01,0,B,43,-57.3333,pulsating,1
P01,0,A,44,-43.3333,pulsating,0
P01,0,B,45,-57.3333,continuous,0
P01,0,B,46,-58.3333,pulsating,0
P01,0,B,47,-58.3333,continuous,0
P01,0,B,48,-59.3333,pulsating,0
P01,0,B,49,-59.3333,continuous,0
P01,0,A,50,-44.3333,pulsating,0
P01,0,B,51,-58.3333,continuous,1
P01,0,B,52,-58.3333,continuous,0
P01,0,B,53,-57.3333,continuous,0
P01,0,B,54,-57.3333,continuous,0
P01,0,A,55,-44.3333,pulsating,0
P01,0,B,56,-56.3333,continuous,0
P01,0,B,57,-56.3333,continuous,0
P01,0,A,58,-45.3333,pulsating,0
P01,0,A,59,-45.3333,pulsating,0
P01,0,B,60,-55.3333,continuous,0
P01,0,A,61,-46.3333,pulsating,0
P01,0,A,62,-46.3333,pulsating,0
P01,0,A,63,-45.3333,continuous,1
P01,0,B,64,-56.3333,pulsating,1
P01,0,A,65,-45.3333,pulsating,0
P01,0,A,66,-46.3333,pulsating,1
P01,0,B,67,-56.3333,continuous,0
P01,0,A,68,-46.3333,pulsating,0
P01,0,A,69,-47.3333,pulsating,0
P01,0,B,70,-55.3333,continuous,1
P01,0,A,71,-47.3333,pulsating,0
P01,0,A,72,-48.3333,pulsating,0
P01,0,B,73,-55.3333,continuous,0
P01,0,B,74,-54.3333,continuous,0
P01,0,B,75,-54.3333,continuous,0
P01,0,A,76,-48.3333,pulsating,0
P01,0,A,77,-49.3333,pulsating,0
P01,0,B,78,-53.3333,continuous,0
P01,0,B,79,-53.3333,continuous,0
P01,0,A,80,-48.3333,continuous,1
P01,0,B,81,-52.3333,continuous,0
P01,0,B,82,-52.3333,continuous,0
P01,0,B,83,-51.3333,continuous,0
P01,0,B,84,-52.3333,pulsating,1
P01,0,A,85,-48.3333,pulsating,0
P01,0,A,86,-49.3333,pulsating,1
P01,400,A,1,-31.3333,pulsating,0
P01,400,B,2,-61.3333,continuous,0
P01,400,B,3,-63.3333,pulsating,0
P01,400,A,4,-33.3333,pulsating,0
P01,400,B,5,-63.3333,continuous,0
P01,400,A,6,-33.3333,pulsating,0
P01,400,B,7,-61.3333,continuous,1
P01,400,A,8,-35.3333,pulsating,0
P01,400,B,9,-61.3333,continuous,0
P01,400,A,10,-35.3333,pulsating,0
P01,400,B,11,-59.3333,continuous,0
P01,400,A,12,-37.3333,pulsating,0
P01,400,B,13,-60.3333,pulsating,1
P01,400,A,14,-37.3333,pulsating,0
P01,400,A,15,-39.3333,pulsating,0
P01,400,B,16,-60.3333,continuous,0
P01,400,A,17,-39.3333,pulsating,0
P01,400,A,18,-41.3333,pulsating,0
P01,400,A,19,-41.3333,pulsating,0
P01,400,A,20,-43.3333,pulsating,0
P01,400,B,21,-59.3333,continuous,1
P01,400,B,22,-59.3333,continuous,0
P01,400,A,23,-43.3333,pulsating,0
P01,400,A,24,-45.3333,pulsating,0
P01,400,A,25,-45.3333,pulsating,0
P01,400,A,26,-47.3333,pulsating,0
P01,400,A,27,-47.3333,pulsating,0
P01,400,A,28,-49.3333,pulsating,0
P01,400,A,29,-49.3333,pulsating,0
P01,400,B,30,-58.3333,continuous,0
P01,400,B,31,-59.3333,pulsating,1
P01,400,A,32,-51.3333,pulsating,0
P01,400,A,33,-51.3333,pulsating,0
P01,400,B,34,-59.3333,continuous,0
P01,400,A,35,-53.3333,pulsating,0
P01,400,B,36,-60.3333,pulsating,0
P01,400,B,37,-61.3333,pulsating,0
P01,400,A,38,-53.3333,pulsating,0
P01,400,B,39,-62.3333,pulsating,0
P01,400,B,40,-63.3333,pulsating,0
P01,400,B,41,-63.3333,continuous,0
P01,400,A,42,-55.3333,pulsating,0
P01,400,B,43,-64.3333,pulsating,0
P01,400,A,44,-55.3333,pulsating,0
P01,400,B,45,-65.3333,pulsating,0
P01,400,B,46,-66.3333,pulsating,0
P01,400,A,47,-57.3333,pulsating,0
P01,400,B,48,-66.3333,continuous,0
P01,400,B,49,-67.3333,pulsating,0
P01,400,A,50,-57.3333,pulsating,0
P01,400,B,51,-68.3333,pulsating,0
P01,400,A,52,-59.3333,pulsating,0
P01,400,B,53,-68.3333,continuous,0
P01,400,A,54,-59.3333,pulsating,0
P01,400,A,55,-61.3333,pulsating,0
P01,400,A,56,-61.3333,pulsating,0
P01,400,B,57,-67.3333,continuous,1
P01,400,A,58,-63.3333,pulsating,0
P01,400,B,59,-68.3333,pulsating,1
P01,400,A,60,-63.3333,pulsating,0
P01,400,B,61,-68.3333,continuous,0
P01,400,A,62,-65.3333,pulsating,0
P01,400,A,63,-65.3333,pulsating,0
P01,400,B,64,-67.3333,continuous,1
P01,400,B,65,-67.3333,continuous,0
P01,400,A,66,-63.3333,continuous,1
P01,400,B,67,-66.3333,continuous,0
P01,400,A,68,-61.3333,continuous,0
P01,400,B,69,-66.3333,continuous,0
P01,400,B,70,-67.3333,pulsating,1
P01,400,A,71,-61.3333,pulsating,0
P01,400,A,72,-62.3333,pulsating,1
P01,400,A,73,-62.3333,pulsating,0
P01,400,A,74,-63.3333,pulsating,0
P01,400,A,75,-63.3333,pulsating,0
P01,400,A,76,-64.3333,pulsating,0
P01,400,A,77,-64.3333,pulsating,0
P01,400,A,78,-65.3333,pulsating,0
P01,400,A,79,-64.3333,continuous,1
P01,400,A,80,-64.3333,pulsating,0
P01,400,A,81,-65.3333,pulsating,1
P01,400,A,82,-64.3333,continuous,1
P01,400,A,83,-63.3333,continuous,0
P01,400,A,84,-62.3333,continuous,0
P01,400,A,85,-61.3333,continuous,0
P01,400,A,86,-61.3333,pulsating,0
P01,400,A,87,-62.3333,pulsating,1
P01,400,A,88,-62.3333,pulsating,0
P01,400,A,89,-63.3333,pulsating,0
P01,400,A,90,-63.3333,pulsating,0
P01,400,A,91,-64.3333,pulsating,0
P01,400,A,92,-64.3333,pulsating,0
P01,400,A,93,-65.3333,pulsating,0
P01,400,A,94,-65.3333,pulsating,0
P01,400,A,95,-64.3333,continuous,1
P01,400,A,96,-63.3333,continuous,0
P01,400,A,97,-62.3333,continuous,0
P01,400,A,98,-61.3333,continuous,0
P01,400,A,99,-60.3333,continuous,0
P01,400,A,100,-60.3333,pulsating,0
P01,400,A,101,-59.3333,continuous,0
P01,400,A,102,-58.3333,continuous,0
P01,400,A,103,-58.3333,pulsating,0
P01,400,A,104,-59.3333,pulsating,1
P01,200,A,1,-31.3333,pulsating,0
P01,200,A,2,-33.3333,pulsating,0
P01,200,B,3,-61.3333,continuous,0
P01,200,A,4,-33.3333,pulsating,0
P01,200,A,5,-35.3333,pulsating,0
P01,200,B,6,-59.3333,continuous,0
P01,200,B,7,-59.3333,continuous,0
P01,200,A,8,-35.3333,pulsating,0
P01,200,A,9,-37.3333,pulsating,0
P01,200,B,10,-57.3333,continuous,0
P01,200,B,11,-57.3333,continuous,0
P01,200,B,12,-55.3333,continuous,0
P01,200,B,13,-55.3333,continuous,0
P01,200,A,14,-37.3333,pulsating,0
P01,200,A,15,-39.3333,pulsating,0
P01,200,A,16,-39.3333,pulsating,0
P01,200,B,17,-53.3333,continuous,0
P01,200,B,18,-53.3333,continuous,0
P01,200,B,19,-51.3333,continuous,0
P01,200,B,20,-51.3333,continuous,0
P01,200,B,21,-53.3333,pulsating,1
P01,200,B,22,-55.3333,pulsating,0
P01,200,B,23,-55.3333,continuous,0
P01,200,A,24,-41.3333,pulsating,0
P01,200,A,25,-41.3333,pulsating,0
P01,200,B,26,-54.3333,continuous,1
P01,200,A,27,-43.3333,pulsating,0
P01,200,A,28,-43.3333,pulsating,0
P01,200,B,29,-54.3333,continuous,0
P01,200,B,30,-53.3333,continuous,0
P01,200,A,31,-45.3333,pulsating,0
P01,200,B,32,-53.3333,continuous,0
P01,200,B,33,-52.3333,continuous,0
P01,200,B,34,-53.3333,pulsating,1
P01,200,B,35,-54.3333,pulsating,0
P01,200,A,36,-45.3333,pulsating,0
P01,200,A,37,-47.3333,pulsating,0
P01,200,B,38,-54.3333,continuous,0
P01,200,A,39,-47.3333,pulsating,0
P01,200,A,40,-49.3333,pulsating,0
P01,200,A,41,-47.3333,continuous,1
P01,200,A,42,-47.3333,pulsating,0
P01,200,A,43,-48.3333,pulsating,1
P01,200,A,44,-48.3333,pulsating,0
P01,200,B,45,-53.3333,continuous,1
P01,200,A,46,-49.3333,pulsating,0
P01,200,B,47,-53.3333,continuous,0
P01,200,A,48,-49.3333,pulsating,0
P01,200,A,49,-50.3333,pulsating,0
P01,200,B,50,-52.3333,continuous,0
P01,200,A,51,-50.3333,pulsating,0
P01,200,A,52,-51.3333,pulsating,0
P01,200,A,53,-51.3333,pulsating,0
P01,200,B,54,-52.3333,continuous,0
P01,200,B,55,-51.3333,continuous,0
P01,200,B,56,-51.3333,continuous,0
P01,200,B,57,-52.3333,pulsating,1
P01,200,B,58,-53.3333,pulsating,0
P01,200,B,59,-53.3333,continuous,0
P01,200,A,60,-52.3333,pulsating,0
P01,200,B,61,-52.3333,continuous,1
P01,200,A,62,-51.3333,continuous,1
P01,200,A,63,-50.3333,continuous,0
P01,200,A,64,-50.3333,pulsating,0
P01,200,B,65,-53.3333,pulsating,1
P01,200,B,66,-54.3333,pulsating,0
P01,200,B,67,-54.3333,continuous,0
P01,200,A,68,-51.3333,pulsating,1
P01,200,A,69,-51.3333,pulsating,0
P01,200,B,70,-55.3333,pulsating,0
P01,200,B,71,-55.3333,continuous,0
P01,200,A,72,-50.3333,continuous,1
P01,200,A,73,-50.3333,pulsating,0
P01,200,A,74,-49.3333,continuous,0
P01,200,A,75,-48.3333,continuous,0
P01,200,B,76,-54.3333,continuous,1
P01,200,A,77,-48.3333,pulsating,0
P01,200,A,78,-49.3333,pulsating,1
P01,200,A,79,-49.3333,pulsating,0
P01,200,A,80,-50.3333,pulsating,0
P01,200,A,81,-50.3333,pulsating,0
P01,200,A,82,-49.3333,continuous,1
P01,200,A,83,-49.3333,pulsating,0
P01,200,A,84,-50.3333,pulsating,1
